first,last,isfemale-genderize,genderize-acc,genderize-log,isfemale-genderapi,genderapi-acc,genderapi-log
Makoto,Satoh,False,99.0,"{""count"":7468,""gender"":""male"",""name"":""Makoto"",""probability"":0.99},",False,96,"{""last_name"":""Satoh"",""first_name"":""Makoto"",""strict"":false,""name"":""makoto"",""name_sanitized"":""Makoto"",""country"":"""",""gender"":""male"",""samples"":1440,""accuracy"":96,""duration"":""40ms"",""credits_used"":1},"
Altaf,Hossain,False,100.0,"{""count"":9280,""gender"":""male"",""name"":""Altaf"",""probability"":1.0},",False,94,"{""last_name"":""Hossain"",""first_name"":""Altaf"",""strict"":false,""name"":""altaf"",""name_sanitized"":""Altaf"",""country"":"""",""gender"":""male"",""samples"":1252,""accuracy"":94,""duration"":""33ms"",""credits_used"":1},"
Rafael,Álvarez,False,100.0,"{""count"":434102,""gender"":""male"",""name"":""Rafael"",""probability"":1.0},",False,99,"{""last_name"":""\u00c1lvarez"",""first_name"":""Rafael"",""strict"":false,""name"":""rafael"",""name_sanitized"":""Rafael"",""country"":"""",""gender"":""male"",""samples"":52197,""accuracy"":99,""duration"":""35ms"",""credits_used"":1},"
Jovan,Golic,False,98.0,"{""count"":3714,""gender"":""male"",""name"":""Jovan"",""probability"":0.98},",False,93,"{""last_name"":""Golic"",""first_name"":""Jovan"",""strict"":false,""name"":""jovan"",""name_sanitized"":""Jovan"",""country"":"""",""gender"":""male"",""samples"":5235,""accuracy"":93,""duration"":""42ms"",""credits_used"":1},"
Güzin,Ulutas,True,100.0,"{""count"":4,""gender"":""female"",""name"":""Güzin"",""probability"":1.0},",True,96,"{""last_name"":""Ulutas"",""first_name"":""G\u00fczin"",""strict"":false,""name"":""g\u00fczin"",""name_sanitized"":""G\u00fczin"",""country"":"""",""gender"":""female"",""samples"":207,""accuracy"":96,""duration"":""34ms"",""credits_used"":1},"
Pranay,Chaudhuri,False,100.0,"{""count"":12124,""gender"":""male"",""name"":""Pranay"",""probability"":1.0},",False,100,"{""last_name"":""Chaudhuri"",""first_name"":""Pranay"",""strict"":false,""name"":""pranay"",""name_sanitized"":""Pranay"",""country"":"""",""gender"":""male"",""samples"":1710,""accuracy"":100,""duration"":""41ms"",""credits_used"":1},"
Dominik,Szajerman,False,99.0,"{""count"":71246,""gender"":""male"",""name"":""Dominik"",""probability"":0.99},",False,98,"{""last_name"":""Szajerman"",""first_name"":""Dominik"",""strict"":false,""name"":""dominik"",""name_sanitized"":""Dominik"",""country"":"""",""gender"":""male"",""samples"":21763,""accuracy"":98,""duration"":""41ms"",""credits_used"":1},"
Ankita,Brahmachari,True,100.0,"{""count"":42503,""gender"":""female"",""name"":""Ankita"",""probability"":1.0},",True,99,"{""last_name"":""Brahmachari"",""first_name"":""Ankita"",""strict"":false,""name"":""ankita"",""name_sanitized"":""Ankita"",""country"":"""",""gender"":""female"",""samples"":4635,""accuracy"":99,""duration"":""29ms"",""credits_used"":1},"
Magnus,Mähring,False,100.0,"{""count"":45113,""gender"":""male"",""name"":""Magnus"",""probability"":1.0},",False,99,"{""last_name"":""M\u00e4hring"",""first_name"":""Magnus"",""strict"":false,""name"":""magnus"",""name_sanitized"":""Magnus"",""country"":"""",""gender"":""male"",""samples"":5496,""accuracy"":99,""duration"":""37ms"",""credits_used"":1},"
Minoru,Shigenaga,False,100.0,"{""count"":2647,""gender"":""male"",""name"":""Minoru"",""probability"":1.0},",False,98,"{""last_name"":""Shigenaga"",""first_name"":""Minoru"",""strict"":false,""name"":""minoru"",""name_sanitized"":""Minoru"",""country"":"""",""gender"":""male"",""samples"":389,""accuracy"":98,""duration"":""34ms"",""credits_used"":1},"
Reiko,Heckel,True,82.0,"{""count"":683,""gender"":""female"",""name"":""Reiko"",""probability"":0.82},",True,85,"{""last_name"":""Heckel"",""first_name"":""Reiko"",""strict"":false,""name"":""reiko"",""name_sanitized"":""Reiko"",""country"":"""",""gender"":""female"",""samples"":432,""accuracy"":85,""duration"":""33ms"",""credits_used"":1},"
Efthymios,Alepis,False,99.0,"{""count"":68,""gender"":""male"",""name"":""Efthymios"",""probability"":0.99},",False,92,"{""last_name"":""Alepis"",""first_name"":""Efthymios"",""strict"":false,""name"":""efthymios"",""name_sanitized"":""Efthymios"",""country"":"""",""gender"":""male"",""samples"":26,""accuracy"":92,""duration"":""40ms"",""credits_used"":1},"
